vid_title,vid_id,publish_date,channel_title,channel_id,category_id,duration,views,likes,comments
子どもたちに安全な水を届けるベンチャー、角田隆志の挑戦【インタビュー】,TXEb0EgGPeo,2020-09-13T06:07:47Z,web動画チャンネル,UCbesmyic1aBytgQm_1anE3g,22,PT4M55S,244,10,Disabled
Sweet Secrets,CxnA5cZ_Ny0,2020-12-21T13:18:40Z,Holiday Baking Championship,UCC_ytscjo2Leoa9zQ3ZdsEw,43,PT42M13S,Private,4,0
Baby Toe Disease,yECr3_k5PUk,2020-11-19T05:02:04Z,Baroness Von Sketch Show,UCT9lsQV9Pgh0eQZzG4Auyyw,43,PT21M38S,Private,2,0
Homebody,X6RZ5IIPFmY,2020-01-28T05:00:03Z,Dollface,UCVcVwGMsfMbKFyvk9BjIN2Q,43,PT29M8S,Private,4,0
Spam,Zip3yDwkJss,2020-07-15T21:21:51Z,Monty Python's Flying Circus,UCVAhCB9qfIVJjHuQZdiPX9g,43,PT30M23S,Private,1,0
Napoleon Bunny-Part,t23FHtow6M4,2020-12-07T16:31:57Z,Bugs Bunny 80th Anniversary Collection,UC5C-A-NnawJHoICAfXfDMzQ,43,PT7M8S,Private,2,0
Gold is Thicker Than Blood,NLQe2EN-dKg,2020-06-27T04:00:04Z,Bering Sea Gold,UCGOxXG_-8raI-1vl8STr3Pg,43,PT41M35S,Private,1,1
1130,G7v_Vr5dHJs,2020-07-12T04:00:06Z,All That,UCIRrJJ-AslSnSUVx4_0x_5g,43,PT22M44S,Private,6,0
African Kung-Fu Nazis,D3__jQazy8A,2020-12-26T18:24:11Z,YouTube Movies,UCP3-cWP4dXYYf0Po_flnz1w,30,PT1H24M9S,Private,16,5
Hands That Rob The Cradle,12B44Vv08iM,2020-03-18T04:00:01Z,Diabolical,UC7ENxdIyTPMeNxniaGASt9Q,43,PT42M35S,Private,6,0
Creek Runs Red,2ljwajRSKwg,2020-05-19T04:00:04Z,Southern Gothic,UCSmVQ_7XoS6xylJBdvSmhOQ,43,PT42M35S,Private,5,5
Yura of the Demon-Hair,DZjt9vJBnQo,2020-06-30T04:00:02Z,Inuyasha (English),UCt6DiOj6Rr7U6YFP0gDWU9w,43,PT24M4S,Private,2,0
